"Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","data_source","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","Time","Field_DO_mgL","Field_Cond_µS/cm","Field_Temp_C","dt"
"Sawmill",2023-07-07,0.43,2.73,,1.88,0.27,6.74,318.25,33.16,0.82,0.03,0.36,0.9,4.64,0.03,0.07,0.58,0,1.84,2242,2023,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,,,,,
"Sawmill",2023-07-10,0.84,1.57,,1.4,0.26,6.88,301.28,34.11,0.76,0.03,0.31,0.85,4.77,0.04,0.08,0.56,0,1.88,2247,2023,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,"10:30",,,,2023-07-10 16:30:00.000000
"JWC-Joe Wright @ Aspen Glen Campground",2023-07-10,4.04,3.89,3.98,2.9,0.38,6.88,360.51,42.31,1.32,0.05,0.55,1,5.68,0.04,0.54,0.5,0,2.1,2248,2023,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"11:05",7.64,"40.69","11.6",2023-07-10 17:05:00.000000
"Poudre Above Joe Wright",2023-07-10,3.21,2.22,1.36,4.2,0.31,6.88,244,31.21,1.12,0.04,0.34,0.77,4.08,0.02,0.14,0.45,0,2.56,2249,2023,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"11:40",8.19,"32.78","9.6",2023-07-10 17:40:00.000000
"Poudre below Poudre Falls",2023-07-10,3.09,2.5,2.13,3.89,0.28,6.71,244,32.11,1.2,0.06,0.41,0.87,4.59,0.06,0.26,0.46,0,2.4,2250,2023,"PFAL","ROSS","40.651785",-105.810831,"Stream","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,,"12:15",7.97,"35.04","11",2023-07-10 18:15:00.000000
"Poudre below Rustic",2023-07-10,6.33,4.85,1.61,4.41,0.4,7,283.66,39.77,1.49,0.04,0.48,1.19,5.55,0.05,0.5,0.46,0,2.58,2254,2023,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,"13:50",7.7,"41.43","13.9",2023-07-10 19:50:00.000000
"Poudre Below S. Fork",2023-07-10,1.91,8.33,1.33,4.21,0.39,6.79,365.41,43.67,1.66,0.04,0.48,1.19,5.41,0.06,0.56,0.48,0,2.52,2255,2023,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,"14:20",7.7,"42.7","14.3",2023-07-10 20:20:00.000000
"Poudre Above North Fork",2023-07-10,5.97,11,1.15,3.89,0.39,6.88,378.56,45.69,1.83,0.06,0.5,1.29,5.72,0.06,0.31,0.42,0,2.64,2256,2023,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,"15:00",7.69,"46.63","16.1",2023-07-10 21:00:00.000000
"Poudre at Bellvue Diversion",2023-07-10,6.8,16.79,1.77,5.2,0.38,6.77,502.22,59.88,2.37,0.07,0.54,1.62,7.57,0.08,0.69,0.33,0,2.79,2257,2023,"PBD","ROSS","40.664519",-105.22419,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,0,"15:35",7.52,"61.03","17.4",2023-07-10 21:35:00.000000
"Long Draw Reservoir",2023-07-11,6.63,12.1,2.43,3.22,0.28,6.88,264.33,36.56,1,0.04,0.41,0.85,4.94,0.18,0.16,0.43,0,3.89,2258,2023,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"10:30",7.41,"36.84","12.7",2023-07-11 16:30:00.000000
"Long Draw Outlet",2023-07-11,0.97,1.31,1.68,4.22,0.27,6.76,244,36.51,0.93,0.04,0.4,0.85,5.19,0.19,0.14,0.48,0,4.28,2259,2023,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"11:00",7.5,"38.6","11.1",2023-07-11 17:00:00.000000
"Peterson Reservoir",2023-07-11,8.84,5.86,1.51,3.43,0.24,6.88,270.33,31.1,1.28,0.04,0.8,0.61,3.85,0.04,0.34,0.34,0,1.47,2260,2023,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"11:50",6.58,"29.59","17.6",2023-07-11 17:50:00.000000
"Peterson Outlet",2023-07-11,8.04,3.1,2.82,3.21,0.21,6.88,277.65,31.21,1.35,0.03,0.88,0.59,4.04,0.04,0.34,0.36,0,1.54,2261,2023,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"12:05",6.72,"31.05","16.4",2023-07-11 18:05:00.000000
"Joe Wright Inlet",2023-07-11,0.75,2.12,0.88,2.78,0.13,6.99,410.23,52.34,1.39,0.03,0.33,1.46,6.98,0.07,0.32,0.32,0,4.96,2262,2023,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"13:00",7.18,"53.21","12",2023-07-11 19:00:00.000000
"Joe Wright Reservoir",2023-07-11,1.84,3.6,2.36,3,0.16,6.82,397.67,47.55,1.36,0.03,0.45,1.25,6.08,0.06,0.67,0.25,0,2.73,2263,2023,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"13:34",,,,2023-07-11 19:34:00.000000
"Chambers Inlet",2023-07-11,2.99,1.99,1.01,3.21,0.3,6.78,378.44,44.6,1.47,0.03,0.52,1.16,5.97,0.05,0.58,0.39,0,2.35,2265,2023,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"14:20",7.67,"44.28","10.5",2023-07-11 20:20:00.000000
"Barnes Meadow Outflow",2023-07-11,5.22,4.12,3.97,7.23,0.62,6.88,493.23,66.59,2.06,0.2,1.05,1.29,9.1,0.04,1.58,0.93,0,4.9,2267,2023,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"14:56",6.02,"70.19","7.6",2023-07-11 20:56:00.000000
"Barnes Meadow Reservoir",2023-07-11,4.23,2.55,5.57,6.54,0.22,6.99,476.89,64.99,2.04,0.04,0.97,1.29,9.17,0.02,1.36,0.13,0,4.38,2268,2023,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"15:12",7.43,"66.09","18",2023-07-11 21:12:00.000000
"Chambers Reservoir",2023-07-11,4.5,3,3.71,3.79,0.48,6.78,351.3,40.55,1.2,0.04,0.5,0.95,5.55,0.04,0.44,0.2,0,2.03,2269,2023,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"15:47",7.6,"38.89","16.9",2023-07-11 21:47:00.000000
"Chambers Outflow",2023-07-11,1.76,1.35,,3.11,0.51,6.88,451.99,60.22,2.72,0.09,0.97,1.7,7.04,0.05,0.8,1.78,0,4.17,2270,2023,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"15:52",7.67,"42.55","9.9",2023-07-11 21:52:00.000000
"Beaver",2023-07-20,6.16,,,3.68,0.31,6.86,249.34,31.21,1.68,0.04,0.42,0.79,3.86,0.04,0.35,0.56,0.24,1.43,2272,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"10:03",,,,2023-07-20 16:03:00.000000
"Poudre South Fork",2023-07-20,3.08,4.1,,4.22,0.37,6.79,232.33,34.03,1.98,0.05,0.3,1.06,4.04,0.17,0.37,0.41,0,1.68,2275,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,"11:18",,,,2023-07-20 17:18:00.000000
"Comanche Outflow",2023-07-21,6.3,5.1,2.63,3.89,0.44,6.77,158.68,21.64,1.46,0.07,0.24,0.57,2.47,0.04,0.25,0.56,0,0.83,2282,2023,"COMO","ROSS","40.5846048",-105.6440011,"Outflow","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.24966832476956524,61.499,"11:10",,,,2023-07-21 17:10:00.000000
"Hourglass Reservoir",2023-07-21,5.11,4.9,6.27,5.07,0.47,6.82,148.49,23.86,1.29,0.04,0.4,0.71,3.28,0.04,0.38,0.78,0,1.07,2283,2023,"HORR","ROSS","40.582032",-105.6314023,"Reservoir","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,"11:30",,,,2023-07-21 17:30:00.000000
"Hourglass Outflow",2023-07-21,5.64,5.1,0.73,3.58,0.53,6.88,197.67,28,1.46,0.1,0.44,0.71,3.06,0.03,0.4,1.44,0,1.21,2284,2023,"HORO","ROSS","40.5828742",-105.6309523,"Outflow","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,"11:45",,,,2023-07-21 17:45:00.000000
"Beaver",2023-07-21,6.06,6,5.96,3.64,0.24,6.8,267.55,29.55,1.6,0.05,0.34,0.74,3.06,0.05,0.44,0.5,0,0.99,2285,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"12:15",,,,2023-07-21 18:15:00.000000
"Poudre South Fork",2023-07-21,4.43,4.81,2.5,3.89,0.36,6.77,261.28,31,1.76,0.05,0.29,0.85,3.28,0.11,0.36,0.39,0,1.42,2286,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,"12:45",,,,2023-07-21 18:45:00.000000
"Sawmill",2023-07-24,1.02,1.09,,1.23,0.25,6.89,340.55,37.11,0.85,0.03,0.44,0.92,5.28,0.03,0.08,0.5,0,1.48,2287,2023,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,"13.21",,,,
"Sawmill",2023-08-02,0.66,0.91,,1.346,0.1622,6.89,389.43,45.6,0.91,0.03,0.44,1.17,7.42,0.03,0.12,0.49,0,1.65,2374,2023,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,"9:50:00 AM",,,,2023-08-02 15:50:00.000000
"JWC-Joe Wright @ Aspen Glen Campground",2023-08-02,3.44,3.4,2.82,2.87,0.35,6.82,396.63,50.46,1.79,0.09,0.51,1.24,8.07,0.03,0.56,0.27,0,1.92,2375,2023,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"10:30:00 AM",,,,2023-08-02 16:30:00.000000
"Poudre Above Joe Wright",2023-08-02,3.04,4.04,0.87,2.75,0.23,6.84,326.7,50.22,1.36,0.06,0.36,1.25,7.75,0.03,0.17,0.57,0,5.34,2376,2023,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"10:40:00 AM",,,,2023-08-02 16:40:00.000000
"Poudre below Poudre Falls",2023-08-02,3.75,2.31,1.59,2.69,0.25,6.76,285.27,48.79,1.45,0.05,0.4,1.23,7.91,0.06,0.28,0.58,0,4.44,2377,2023,"PFAL","ROSS","40.651785",-105.810831,"Stream","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,,"11:13:00 AM",,,,2023-08-02 17:13:00.000000
"Poudre below Rustic",2023-08-02,26.24,29.44,1.12,2.65,0.17,6.93,421.11,58.5,1.78,0.03,0.5,1.53,8.81,0.04,0.59,0.49,0,3.98,2381,2023,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,"12:30:00 PM",,,,2023-08-02 18:30:00.000000
"Poudre Below S. Fork",2023-08-02,21.64,30.75,1.31,2.87,0.24,6.85,424.29,56.52,1.89,0.06,0.47,1.49,8.15,0.03,0.61,0.47,0,3.53,2382,2023,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,"13:00:00 PM",,,,2023-08-02 19:00:00.000000
"Poudre Above North Fork",2023-08-02,43.22,54.5,1.45,3.05,0.23,6.83,443.65,60.46,2.14,0.07,0.51,1.67,8.84,0.03,1.12,0.44,0,3.49,2383,2023,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,"13:35:00 PM",,,,2023-08-02 19:35:00.000000
"Poudre at Bellvue Diversion",2023-08-02,44.29,50.4,1.27,3.77,0.39,6.89,587.5,78.18,2.67,0.03,0.54,2.04,11.13,0.07,2.02,0.3,0,3.51,2384,2023,"PBD","ROSS","40.664519",-105.22419,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,0,"14:05:00 PM",,,,2023-08-02 20:05:00.000000
"Beaver",2023-08-02,5.67,3.08,,3.89,0.37,6.82,262.44,33.29,2.25,0.04,0.37,0.84,4.15,0.03,0.37,0.59,0,1.26,2385,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,,,,,
"Poudre South Fork",2023-08-02,4.68,4.07,,3.83,0.34,6.88,344.55,42.63,1.78,0.07,0.27,1.12,4.98,0.05,1.01,1.13,0,1.99,2388,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,,,,,
"Long Draw Reservoir",2023-08-04,1.77,2.43,1.29,3.47,0.19,7,298.98,46.62,0.96,0.03,0.36,1.16,7.6,0.2,0.16,0.5,0,4.57,2394,2023,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"10:00:00 AM",,,,2023-08-04 16:00:00.000000
"Long Draw Outlet",2023-08-04,1.14,1.51,1.08,2.58,0.31,6.64,388.45,62.13,0.96,0.05,0.34,1.49,9.98,0.22,0.14,0.66,0,7.53,2395,2023,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"10:20:00 AM",,,,2023-08-04 16:20:00.000000
"Peterson Reservoir",2023-08-04,2.47,2.36,0.75,7.29,0.41,6.67,280.57,33.34,1.82,0.06,0.78,0.63,4.22,0.04,0.4,0.28,0,1.37,2397,2023,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"11:30:00 AM",,,,2023-08-04 17:30:00.000000
"Peterson Outlet",2023-08-04,2.7,2.31,0.48,7.43,0.39,6.63,309.07,36.64,1.89,0.03,0.84,0.62,4.97,0.02,0.41,0.29,0,1.42,2398,2023,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"12:40:00 PM",,,,2023-08-04 18:40:00.000000
"Joe Wright Inlet",2023-08-04,2.38,2.45,0.68,1.43,0.25,6.73,518.29,70.86,1.62,0.06,0.27,1.78,11.4,0.05,0.37,0.31,0,5.71,2399,2023,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"13:30:00 PM",,,,2023-08-04 19:30:00.000000
"Joe Wright Reservoir",2023-08-04,3.43,3.18,,2.95,0.21,6.75,454.82,58.36,1.82,0.02,0.43,1.56,8.64,0.05,0.65,0.15,0,3.46,2400,2023,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"13:50:00 PM",,,,2023-08-04 19:50:00.000000
"Chambers Inlet",2023-08-04,3.99,4.1,0.72,3.32,0.36,6.85,463.22,56.42,1.99,0.07,0.59,1.42,8.42,0.04,0.86,0.3,0,2.15,2401,2023,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"14:10:00 PM",,,,2023-08-04 20:10:00.000000
"Barnes Meadow Outflow",2023-08-04,8.64,7.88,5.04,6.95,0.52,6.76,521.44,78.08,2.4,0.18,0.85,1.47,12.67,0.03,1.4,0.47,0,4.58,2402,2023,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"14:20:00 PM",,,,2023-08-04 20:20:00.000000
"Barnes Meadow Reservoir",2023-08-04,16.59,15.34,9.5,7.16,0.38,6.91,639.63,82.78,2.21,0.1,0.99,1.52,13.19,0.03,1.48,0.04,0,4.47,2403,2023,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"14:35:00 PM",,,,2023-08-04 20:35:00.000000
"Chambers Reservoir",2023-08-04,7.51,6.88,2.63,2.69,0.22,6.76,369.17,47.13,1.52,0.05,0.47,1.06,7.39,0.05,0.46,0.05,0,2.51,2404,2023,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"15:05:00 PM",,,,2023-08-04 21:05:00.000000
"Chambers Outflow",2023-08-04,7.81,6.09,2.53,2.64,0.22,6.8,426.71,48.91,1.54,0.05,0.49,1.16,7.29,0.03,0.49,0.24,0,2.38,2406,2023,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"15:20:00 PM",,,,2023-08-04 21:20:00.000000
"Beaver",2023-08-08,5.64,4.72,,3.98,0.32,6.8,275.71,33.87,1.99,0.04,0.35,0.83,3.57,0.03,0.54,0.79,0,1.59,2407,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,,,,,
"Poudre South Fork",2023-08-08,3.21,3,,9.34,1.04,6.93,299.31,35.12,1.72,0.07,0.32,1.03,4.08,0.04,0.58,0.16,0,2.21,2409,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,,,,,
"Sawmill",2023-08-08,1.09,0.89,,1.23,0.31,6.92,390.22,47,0.9,0.02,0.41,1.31,6.52,0.03,0.18,1.09,0,2.45,2413,2023,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,,,,,
"Comanche Inflow",2023-08-11,0.51,0.87,0.38,2.33,0.35,6.69,196.65,25.24,1.55,0.02,0.16,0.62,2.72,0.02,0.21,0.93,0,1.35,2440,2023,"COMI","ROSS","40.5858963",-105.6626,"Inflow","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.173174601127291,72.236,"10:06:00 AM",,,,2023-08-11 16:06:00.000000
"Comanche Reservoir",2023-08-11,2.66,2.31,3.39,4.33,0.28,6.8,221.59,26.91,1.39,0.04,0.29,0.69,3.12,0.02,0.38,0.62,0,1.42,2441,2023,"COMR","ROSS","40.5853086",-105.6455009,"Reservoir","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.24966832476956524,70.774,"11:10:00 AM",,,,2023-08-11 17:10:00.000000
"Hourglass Inflow",2023-08-11,0.39,0.27,0.43,1.69,0.15,6.73,158.71,19.27,1.17,0.02,0.16,0.5,2.04,0.03,0.19,0.36,0,1.28,2442,2023,"HORI","ROSS","40.5805091",-105.6409321,"Inflow","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.05085114281168797,61.499,"11:30:00 AM",,,,2023-08-11 17:30:00.000000
"Comanche Outflow",2023-08-11,0.97,0.88,3.32,4.2,0.35,6.7,247.34,29.07,1.42,0.04,0.3,0.71,3.11,0.02,0.39,0.59,0,1.42,2443,2023,"COMO","ROSS","40.5846048",-105.6440011,"Outflow","South Fork","Comanche Reservoir","Burned",0.45576441102756887,0.24966832476956524,61.499,"12:00:00 PM",,,,2023-08-11 18:00:00.000000
"Hourglass Reservoir",2023-08-11,4.63,5.39,7.68,4.5,0.26,6.76,194.73,26.5,1.24,0.03,0.33,0.75,3.26,0.02,0.49,0.13,0,1.89,2444,2023,"HORR","ROSS","40.582032",-105.6314023,"Reservoir","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,"12:20:00 PM",,,,2023-08-11 18:20:00.000000
"Hourglass Outflow",2023-08-11,3.02,3.87,8.63,4.02,0.3,6.66,208.95,28.26,1.25,0.09,0.31,0.72,3.25,0.01,0.45,0.71,0,1.53,2445,2023,"HORO","ROSS","40.5828742",-105.6309523,"Outflow","South Fork","Hourglass Reservoir","Burned",0.40096867936712954,0.10162730589431843,61.499,"13:00:00 PM",,,,2023-08-11 19:00:00.000000
"Beaver",2023-08-11,3.79,5.3,4.52,3.99,0.28,6.77,240.71,29.03,1.44,0.03,0.31,0.65,3.04,0.04,0.72,0.69,0,2.04,2447,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"13:36:00 PM",,,,2023-08-11 19:36:00.000000
"Poudre South Fork",2023-08-11,4.21,3.43,2.47,3.86,0.35,6.72,324.33,35.6,1.69,0.03,0.3,0.84,3.59,0.07,0.53,0.01,0,2.74,2448,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,"14:25:00 PM",,,,2023-08-11 20:25:00.000000
"JWC-Joe Wright @ Aspen Glen Campground",2023-08-15,4.44,3.91,2.23,2.92,0.23,6.71,339.14,42.43,1.36,0.1,0.46,1.15,5.36,0.02,0.66,0.1,0,3.34,2450,2023,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"15:30:00 PM",,,,2023-08-15 21:30:00.000000
"Poudre Above Joe Wright",2023-08-15,1.21,1.19,0.53,2.6,0.23,6.7,317.67,50.14,1.1,0.03,0.31,1.21,6.59,0.01,0.16,0.64,0,7.09,2451,2023,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"15:50:00 PM",,,,2023-08-15 21:50:00.000000
"Poudre below Poudre Falls",2023-08-15,2.26,2.36,0.84,2.61,0.48,6.8,286.21,48.97,1.15,0.04,0.35,1.21,6.83,0.01,0.29,0.76,0,6.02,2452,2023,"PFAL","ROSS","40.651785",-105.810831,"Stream","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,,"16:15:00 PM",,,,2023-08-15 22:15:00.000000
"Poudre below Rustic",2023-08-15,5.4,4.99,0.61,2.4,0.23,6.87,353.68,54.79,1.57,0.03,0.43,1.4,7.31,0.01,0.61,0.59,0,5.38,2453,2023,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,"17:00:00 PM",,,,2023-08-15 23:00:00.000000
"Beaver",2023-08-16,3.84,4.26,4.67,4.01,0.33,6.8,251.48,32.22,1.49,0.02,0.31,0.79,3.84,0.04,0.83,1.04,0,1.91,2454,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"8:25:00 AM",,,,2023-08-16 14:25:00.000000
"Poudre South Fork",2023-08-16,4.03,3.19,3,3.64,0.23,6.72,316.12,36.88,1.74,0.02,0.3,1,4.24,0.04,0.48,0.08,0,2.31,2456,2023,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,"9:50:00 AM",,,,2023-08-16 15:50:00.000000
"Poudre Below S. Fork",2023-08-16,13.05,10.82,0.93,2.99,0.25,6.87,419.68,55.22,1.7,0.12,0.43,1.43,6.63,0.01,0.66,0.74,0,4.85,2457,2023,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,"11:10",,,,2023-08-16 17:10:00.000000
"Poudre Above North Fork",2023-08-16,7.3,7,1.13,2.98,0.46,6.88,366.86,53.55,1.85,0.06,0.44,1.52,7.07,0.01,1.06,0.58,0,4.77,2459,2023,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,"12:10:00 PM",,,,2023-08-16 18:10:00.000000
"Poudre at Bellvue Diversion",2023-08-16,10.89,10.18,0.87,2.96,0.12,6.82,510.97,59.69,1.98,0.01,0.45,1.57,7.45,0.01,1.3,0.35,0,4.67,2460,2023,"PBD","ROSS","40.664519",-105.22419,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,0,"12:45:00 PM",,,,2023-08-16 18:45:00.000000
"Beaver",2023-08-31,4.23,3.21,,3.81,0.18,7.09,212.18,25.56,1.56,0.02,0.52,0.69,3,0.06,0.31,0.06,0,1.11,2470,2023,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,,,,,
"Long Draw Reservoir",2023-09-05,0.61,1.22,1.08,2.6,0.18,7.03,262.07,49.37,0.98,0.01,0.55,1.14,6.98,0.12,0.16,0.36,0,8.74,2479,2023,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"9:20:00 AM",,,,2023-09-05 15:20:00.000000
"Long Draw Outlet",2023-09-05,2.62,3.08,1.13,2.52,0.2,7.09,269.93,50.56,0.97,0.01,0.54,1.1,7.25,0.12,0.14,0.34,0,8.77,2480,2023,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"9:35",,,,2023-09-05 15:35:00.000000
"Peterson Reservoir",2023-09-05,3.81,3.78,0.81,6.82,0.41,6.95,259.34,31.32,1.34,0.03,0.89,0.59,3.93,0.04,0.4,0.44,0,1.65,2481,2023,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"10:30:00 AM",,,,2023-09-05 16:30:00.000000
"Peterson Outlet",2023-09-05,4.34,2.04,0.95,7.03,0.45,7.04,245.27,31.05,1.37,0.03,1.01,0.54,3.88,0.04,0.4,0.48,0,1.67,2482,2023,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"10:55:00 AM",,,,2023-09-05 16:55:00.000000
"Joe Wright Inlet",2023-09-05,4.21,3.88,0.22,0.94,0.17,7.28,447.17,63.51,1.58,0,0.5,1.39,8.47,0.02,0.41,0.66,0,7.96,2483,2023,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"11:30:00 AM",,,,2023-09-05 17:30:00.000000
