FCW_Number,Time,Field_DO_mgL,Field_Cond_µS/cm,Field_Temp_C
1724,13:25,NA,NA,NA
1725,13:48,NA,NA,NA
1726,14:05,NA,NA,NA
1727,14:51,NA,NA,NA
1728,15:10,NA,NA,NA
1729,9:20,NA,NA,NA
1730,10:10,NA,NA,NA
1731,11:00,NA,NA,NA
1732,11:25,NA,NA,NA
1733,12:10,NA,NA,NA
1734,13:00,NA,NA,NA
1735,13:45,NA,NA,NA
1736,14:10,NA,NA,NA
1737,14:10,NA,NA,NA
1738,14:30,NA,NA,NA
1739,9:20,6.49,51.3,14.5
1740,9:49,6.95,52.52,13.9
1741,10:35,6.11,36.55,13.5
1742,10:55,6.34,37.93,13.1
1743,12:10,7.59,66.35,10
1744,12:10,NA,NA,NA
1745,12:33,6.85,48.38,17.5
1746,13:07,7.55,50.68,9.7
1747,13:30,6.99,92.5,9.2
1748,13:50,6.8,75.4,20.8
1749,14:25,6.81,43.55,18.1
1750,14:40,6.69,45.37,14.4
1751,9:30,NA,NA,NA
1752,9:30,NA,NA,NA
1753,10:40,NA,NA,NA
1754,11:50:00 AM,NA,NA,NA
1757,14:00,NA,NA,NA
1758,14:45,NA,NA,NA
1769,9:15,7.09,47.75,14.3
1770,9:15,NA,NA,NA
1771,10:10,7.53,49.06,12.2
1772,10:40,7.38,49.79,13.7
1773,11:20,7.4,56.05,14.7
1774,11:20,NA,NA,NA
1775,12:10,7.47,41.15,12.8
1776,13:00,7.38,56.41,15.6
1777,13:57,7.42,57.8,17.6
1778,14:40,7.3,63.16,18.4
1779,9:46,6.82,54.35,14.4
1780,10:05,7.02,54.39,14
1781,10:45,6.75,42.76,15.5
1782,11:00,7.12,43.34,14.5
1783,11:41,7.64,69.39,9.5
1784,12:05,6.85,49.37,16.6
1785,12:30,7.78,51.56,9.4
1786,12:45,6.66,84.44,9.2
1787,13:30,6.5,74.98,18.9
1788,13:50,6.77,47.15,18.6
1789,14:05,6.77,48.26,14.7
1790,14:05,NA,NA,NA
1791,9:20,7.87,33.09,8.5
1792,9:55,6.69,36.28,13.2
1793,9:55,NA,NA,NA
1794,10:40,8.08,22.18,7.3
1795,11:00,7.12,36.52,13.6
1796,11:30,7.5,36.12,16.7
1797,11:30,NA,NA,NA
1798,12:25,7.35,33.95,13.1
1799,13:20,7.38,41.6,14.1
1800,9:23,6.68,56.19,14.8
1801,9:45,7.01,56.92,14.2
1802,10:30,6.91,44.51,14.4
1803,11:00,7.66,46.3,14.6
1804,11:00,NA,NA,NA
1805,11:30,NA,NA,NA
1806,12:05,7.01,50.34,16.2
1807,12:30,7.87,50.59,9.1
1808,13:00,6.82,82.48,9.5
1809,13:20,6.67,74.76,18.2
1810,13:55,7.11,47.28,19.8
1811,14:07,6.84,47.98,14.8
1812,9:30,NA,NA,NA
1813,10:15,NA,NA,NA
1814,10:15,NA,NA,NA
1815,10:45,NA,NA,NA
1816,11:15,NA,NA,NA
1817,12:00,NA,NA,NA
1818,13:00,NA,NA,NA
1819,13:45,NA,NA,NA
1820,14:15,NA,NA,NA
1821,15:00,NA,NA,NA
1822,8:56,7.28,49.97,12.7
1823,9:40,7.49,55.44,12.2
1824,9:40,NA,NA,NA
1825,10:00,7.62,55.52,12.6
1826,10:20,7.56,62.66,13.2
1827,11:00,7.8,43.1,10.8
1828,11:50,7.7,61.75,13.7
1829,13:00,7.74,63.13,15.3
1830,13:40,7.93,73.75,16
1831,9:20,6.7,59.1,13.2
1832,9:45,6.87,59.1,13
1833,10:30,7.01,46.82,12.6
1834,10:30,NA,NA,NA
1835,10:50,7.11,51.09,11.9
1836,11:30,8.03,73.54,6.9
1837,11:55,7.02,50.84,14.3
1838,12:25,8.11,50.4,7.3
